id,city,country,lat,lng,date,temp,max temp,humidity,cloudiness,wind speed
5848280,Kapaa,US,22.08,-159.32,1619470662,76.15,77.0,73,1,12.66
2013986,Ust'-Barguzin,RU,53.45,108.98,1619470663,27.28,27.28,89,79,3.27
5397664,South Lake Tahoe,US,38.93,-119.98,1619470663,36.28,37.99,41,75,9.22
1486321,Yar-Sale,RU,66.83,70.83,1619470663,33.62,33.62,97,100,13.49
3369157,Cape Town,ZA,-33.93,18.42,1619470623,62.1,63.0,82,75,19.57
5106841,Albany,US,42.6,-73.97,1619470440,53.04,55.0,28,1,1.99
5962442,Goderich,CA,43.75,-81.72,1619470664,37.4,37.4,65,100,4.61
89113,Ajdabiya,LY,30.76,20.23,1619470664,64.6,64.6,56,8,6.17
3932145,Pisco,PE,-13.7,-76.22,1619470664,68.43,69.01,83,20,8.05
924492,Ntcheu,MW,-14.82,34.64,1619470665,65.84,65.84,87,97,3.0
123941,Mīnāb,IR,27.15,57.08,1619470665,75.2,75.2,64,1,9.22
4032243,Vaini,TO,-21.2,-175.2,1619470665,75.2,75.2,94,75,4.61
3460087,Jardim,BR,-21.48,-56.14,1619470665,74.08,74.08,46,0,5.3
5364271,Laguna,US,38.42,-121.42,1619470666,65.12,68.0,34,20,5.3
632978,Vaasa,FI,63.1,21.62,1619470666,29.53,30.99,80,0,2.3
3394023,Natal,BR,-5.79,-35.21,1619470545,83.34,84.2,70,40,12.66
5861897,Fairbanks,US,64.84,-147.72,1619470621,54.25,59.0,37,20,3.65
2253354,Dakar,SN,14.69,-17.44,1619470514,69.8,69.8,83,0,18.41
964432,Port Alfred,ZA,-33.59,26.89,1619470451,67.46,67.46,85,99,14.07
2418092,Lola,GN,7.8,-8.53,1619470667,73.15,73.15,88,98,2.73
4726521,San Patricio,US,28.02,-97.52,1619470667,80.96,82.4,65,90,17.27
3543961,Beba,CU,22.44,-79.73,1619470667,89.6,89.6,40,40,12.66
4166673,Ocala,US,29.19,-82.14,1619470389,83.1,84.0,42,40,5.75
1185095,Teknāf,BD,20.86,92.31,1619470668,77.83,77.83,88,9,1.19
1254709,Tezu,IN,27.92,96.17,1619470668,74.7,74.7,26,21,4.94
3443061,Chui,UY,-33.7,-53.46,1619470623,60.24,60.24,65,13,8.99
5855927,Hilo,US,19.73,-155.09,1619470668,71.31,73.4,73,90,4.61
5546220,Saint George,US,37.1,-113.58,1619470565,56.61,57.0,54,75,17.27
